#pages	 proc	         sum
1	 0.003185	 1048576
2	 0.000993	 1048576
3	 0.000918	 1048575
4	 0.001144	 1048576
5	 0.000643	 1048575
6	 0.000612	 1048572
7	 0.000637	 1048572
8	 0.000574	 1048576
9	 0.000568	 1048572
10	 0.000570	 1048570
11	 0.000546	 1048575
12	 0.000535	 1048572
13	 0.000581	 1048567
14	 0.001637	 1048572
15	 0.000498	 1048575
16	 0.000494	 1048576
